,name,date,pageviews
0,Economic_inequality,200712,9903.0
1,Economic_inequality,200801,16090.0
2,Economic_inequality,200802,17766.0
3,Economic_inequality,200803,20943.0
4,Economic_inequality,200804,21469.0
5,Economic_inequality,200805,20387.0
6,Economic_inequality,200806,15124.0
7,Economic_inequality,200807,12176.0
8,Economic_inequality,200808,11932.0
9,Economic_inequality,200809,18440.0
10,Economic_inequality,200810,22116.0
11,Economic_inequality,200811,19321.0
12,Economic_inequality,200812,15231.0
13,Economic_inequality,200901,14223.0
14,Economic_inequality,200902,15053.0
15,Economic_inequality,200903,14251.0
16,Economic_inequality,200904,13507.0
17,Economic_inequality,200905,15727.0
18,Economic_inequality,200906,13892.0
19,Economic_inequality,200907,12287.0
20,Economic_inequality,200908,13915.0
21,Economic_inequality,200909,16674.0
22,Economic_inequality,200910,19128.0
23,Economic_inequality,200911,19717.0
24,Economic_inequality,200912,17427.0
25,Economic_inequality,201001,16840.0
26,Economic_inequality,201002,21006.0
27,Economic_inequality,201003,26287.0
28,Economic_inequality,201004,26376.0
29,Economic_inequality,201005,24834.0
30,Economic_inequality,201006,15291.0
31,Economic_inequality,201007,15261.0
32,Economic_inequality,201008,24159.0
33,Economic_inequality,201009,31048.0
34,Economic_inequality,201010,36362.0
35,Economic_inequality,201011,34493.0
36,Economic_inequality,201012,31769.0
37,Economic_inequality,201101,31192.0
38,Economic_inequality,201102,37504.0
39,Economic_inequality,201103,45294.0
40,Economic_inequality,201104,41276.0
41,Economic_inequality,201105,41673.0
42,Economic_inequality,201106,30976.0
43,Economic_inequality,201107,30155.0
44,Economic_inequality,201108,35789.0
45,Economic_inequality,201109,32317.0
46,Economic_inequality,201110,58703.0
47,Economic_inequality,201111,64723.0
48,Economic_inequality,201112,45162.0
49,Economic_inequality,201201,42021.0
50,Economic_inequality,201202,42585.0
51,Economic_inequality,201203,41649.0
52,Economic_inequality,201204,34059.0
53,Economic_inequality,201205,36024.0
54,Economic_inequality,201206,28533.0
55,Economic_inequality,201207,26712.0
56,Economic_inequality,201208,27757.0
57,Economic_inequality,201209,37614.0
58,Economic_inequality,201210,45284.0
59,Economic_inequality,201211,48971.0
60,Economic_inequality,201212,41044.0
61,Economic_inequality,201301,42409.0
62,Economic_inequality,201302,45719.0
63,Economic_inequality,201303,61813.0
64,Economic_inequality,201304,58724.0
65,Economic_inequality,201305,52611.0
66,Economic_inequality,201306,39427.0
67,Economic_inequality,201307,34586.0
68,Economic_inequality,201308,31708.0
69,Economic_inequality,201309,38825.0
70,Economic_inequality,201310,46727.0
71,Economic_inequality,201311,43144.0
72,Economic_inequality,201312,39605.0
73,Economic_inequality,201401,40355.0
74,Economic_inequality,201402,46410.0
75,Economic_inequality,201403,56867.0
76,Economic_inequality,201404,52785.0
77,Economic_inequality,201405,50638.0
78,Economic_inequality,201406,48678.0
79,Economic_inequality,201407,37333.0
80,Economic_inequality,201408,34982.0
81,Economic_inequality,201409,50274.0
82,Economic_inequality,201410,58781.0
83,Economic_inequality,201411,63947.0
84,Economic_inequality,201412,58062.0
85,Economic_inequality,201501,52451.0
86,Economic_inequality,201502,47028.0
87,Economic_inequality,201503,56776.0
88,Economic_inequality,201504,53147.0
89,Economic_inequality,201505,45985.0
90,Economic_inequality,201506,30153.0
91,Economic_inequality,201507,25624.0
92,Economic_inequality,201508,26116.0
93,Economic_inequality,201509,34321.0
94,Economic_inequality,201510,40760.0
95,Economic_inequality,201511,35654.0
96,Economic_inequality,201512,31992.0
97,Economic_inequality,201601,38190.0
98,Economic_inequality,201602,52207.0
99,Economic_inequality,201603,47029.0
100,Economic_inequality,201604,29546.0
101,Economic_inequality,201605,33321.0
102,Economic_inequality,201606,25264.0
103,Economic_inequality,201607,21152.0
104,Economic_inequality,201608,25638.0
105,Economic_inequality,201609,27414.0
106,Economic_inequality,201610,31771.0
107,Economic_inequality,201611,33880.0
108,Economic_inequality,201612,25223.0
109,Economic_inequality,201701,25782.0
110,Economic_inequality,201702,24695.0
111,Economic_inequality,201703,29485.0
112,Economic_inequality,201704,25754.0
113,Economic_inequality,201705,27756.0
114,Economic_inequality,201706,23416.0
115,Economic_inequality,201707,24598.0
116,Economic_inequality,201708,21954.0
117,Economic_inequality,201709,26035.0
118,Economic_inequality,201710,31581.0
119,Economic_inequality,201711,33167.0
120,Economic_inequality,201712,29591.0
121,Economic_inequality,201801,31205.0
122,Economic_inequality,201802,29452.0
123,Economic_inequality,201803,32268.0
124,Economic_inequality,201804,30436.0
125,Economic_inequality,201805,32429.0
